good_wpm_swipe	sentence	fail_wpm_classic	fail_wpm_swipe	fail_interval_time	fail_length	fail_time	good_length	fail_dtw	good_interval_time	good_dtw	good_time	good_wpm_classic	wer	username	dataset
18.184573420215184	they_have_capacity_now	15.933609958506224	9.95850622406639	nan	1409.5558752582206	3012.5	904.556376919928	10498.246089818047	1703.5	3660.1316217387975	1648.0	20.0030307622367	0.25	0q1sat7ola2osk0ohdtciaboba	enron
39.267015706806276	what_a_jerk				nan	nan	453.5682207227957	nan	nan	2146.824630286267	1528.0	35.340314136125656	0.0	0q1sat7ola2osk0ohdtciaboba	enron
23.170496234794363	what_is_the_mood				nan	nan	284.2313386802028	nan	1458.0	1512.468340490222	890.5	18.53639698783549	0.0	0q1sat7ola2osk0ohdtciaboba	enron
15.671251958906494	im_on_a_plane	19.524894240156197	19.5248942401562		nan	nan	103.51568765980456	nan	3994.5	452.42589317380464	442.0	11.49225143653143	0.25	0q1sat7ola2osk0ohdtciaboba	enron
12.061513719971856	mcdonald_click_adventures_amenities				nan	nan	396.0785894109886	nan	1758.0	5906.483283114141	2984.5	21.10764900995075	0.0	0q1sat7ola2osk0ohdtciaboba	rand
22.253129346314328	we_are_all_fragile				nan	nan	218.1191927999088	nan	1478.0	1485.3408015189236	669.0	20.027816411682892	0.0	0q1sat7ola2osk0ohdtciaboba	enron
8.916960802526471	mathematics_komatsu_mold_shop				nan	nan	712.6508009226677	nan	2663.0	4821.69478236841	3218.5	12.929593163663384	0.0	0q1sat7ola2osk0ohdtciaboba	rand
14.232624337787616	arms_sichuan_asks_blogs				nan	nan	589.5511226552718	nan	nan	5399.855165735805	3772.0	17.07914920534514	0.0	0q1sat7ola2osk0ohdtciaboba	rand
4.908644668666485	generates_kentucky_holidays_etrade				nan	nan	947.2273284276482	nan	5530.5	13442.322231641021	10055.0	8.835560403599674	0.0	0q1sat7ola2osk0ohdtciaboba	rand
12.089949222213265	pressure_to_finish_my_review				nan	nan	571.2382626594085	nan	2057.0	3391.805509253054	2850.0	13.540743128878859	0.0	0q1sat7ola2osk0ohdtciaboba	enron
10.726736390453206	irish_passive_vornado_school				nan	nan	825.257661365614	nan	1745.0	5092.88654034193	3951.0	15.017430946634486	0.0	0q1sat7ola2osk0ohdtciaboba	rand
21.14351158488239	nice_weather_for_it				nan	nan	357.8761297864994	nan	1860.0	2039.1090940271981	1331.5	20.086336005638266	0.0	0q1sat7ola2osk0ohdtciaboba	enron
14.838629899839248	abc_conch_oakland_glass				nan	nan	497.2450341242976	nan	1709.0	3492.8163420395495	2216.5	17.064424384815137	0.0	0q1sat7ola2osk0ohdtciaboba	rand
21.79176755447942	i_think_those_are_the_right_dates				nan	nan	395.5099770402855	nan	1604.0	1336.8446224946156	1237.5	22.5181598062954	0.0	0q1sat7ola2osk0ohdtciaboba	enron
